version,1.3.0
info,team,Australia
info,team,Sri Lanka
info,gender,male
info,season,2012/13
info,date,2013/01/18
info,series,Sri Lanka in Australia ODI Series
info,match_number,3
info,venue,"Brisbane Cricket Ground, Woolloongabba"
info,city,Brisbane
info,toss_winner,Australia
info,toss_decision,bat
info,player_of_match,KMDN Kulasekara
info,umpire,RA Kettleborough
info,umpire,PR Reiffel
info,reserve_umpire,JD Ward
info,tv_umpire,M Erasmus
info,match_referee,J Srinath
info,winner,Sri Lanka
info,winner_wickets,4
ball,1,0.1,Australia,DA Warner,PJ Hughes,AD Mathews,0,0,"",""
ball,1,0.2,Australia,DA Warner,PJ Hughes,AD Mathews,0,0,"",""
ball,1,0.3,Australia,DA Warner,PJ Hughes,AD Mathews,0,0,"",""
ball,1,0.4,Australia,DA Warner,PJ Hughes,AD Mathews,0,0,"",""
ball,1,0.5,Australia,DA Warner,PJ Hughes,AD Mathews,0,0,"",""
ball,1,0.6,Australia,DA Warner,PJ Hughes,AD Mathews,1,0,"",""
ball,1,1.1,Australia,DA Warner,PJ Hughes,KMDN Kulasekara,0,0,"",""
ball,1,1.2,Australia,DA Warner,PJ Hughes,KMDN Kulasekara,0,0,"",""
ball,1,1.3,Australia,DA Warner,PJ Hughes,KMDN Kulasekara,0,0,"",""
ball,1,1.4,Australia,DA Warner,PJ Hughes,KMDN Kulasekara,3,0,"",""
ball,1,1.5,Australia,PJ Hughes,DA Warner,KMDN Kulasekara,0,0,"",""
ball,1,1.6,Australia,PJ Hughes,DA Warner,KMDN Kulasekara,0,0,"",""
ball,1,2.1,Australia,DA Warner,PJ Hughes,AD Mathews,0,0,caught,DA Warner
ball,1,2.2,Australia,MJ Clarke,PJ Hughes,AD Mathews,0,0,"",""
ball,1,2.3,Australia,MJ Clarke,PJ Hughes,AD Mathews,1,0,"",""
ball,1,2.4,Australia,PJ Hughes,MJ Clarke,AD Mathews,0,0,"",""
ball,1,2.5,Australia,PJ Hughes,MJ Clarke,AD Mathews,0,0,"",""
ball,1,2.6,Australia,PJ Hughes,MJ Clarke,AD Mathews,0,0,"",""
ball,1,3.1,Australia,MJ Clarke,PJ Hughes,KMDN Kulasekara,0,0,"",""
ball,1,3.2,Australia,MJ Clarke,PJ Hughes,KMDN Kulasekara,1,0,"",""
ball,1,3.3,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,2,0,"",""
ball,1,3.4,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,0,1,"",""
ball,1,3.5,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,3.6,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,3.7,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,4.1,Australia,MJ Clarke,PJ Hughes,AD Mathews,0,0,"",""
ball,1,4.2,Australia,MJ Clarke,PJ Hughes,AD Mathews,0,0,"",""
ball,1,4.3,Australia,MJ Clarke,PJ Hughes,AD Mathews,0,0,"",""
ball,1,4.4,Australia,MJ Clarke,PJ Hughes,AD Mathews,3,0,"",""
ball,1,4.5,Australia,PJ Hughes,MJ Clarke,AD Mathews,0,0,"",""
ball,1,4.6,Australia,PJ Hughes,MJ Clarke,AD Mathews,1,0,"",""
ball,1,5.1,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,5.2,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,5.3,Australia,PJ Hughes,MJ Clarke,KMDN Kulasekara,0,0,caught,PJ Hughes
ball,1,5.4,Australia,DJ Hussey,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,5.5,Australia,DJ Hussey,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,5.6,Australia,DJ Hussey,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,6.1,Australia,MJ Clarke,DJ Hussey,AD Mathews,0,0,"",""
ball,1,6.2,Australia,MJ Clarke,DJ Hussey,AD Mathews,0,0,"",""
ball,1,6.3,Australia,MJ Clarke,DJ Hussey,AD Mathews,4,0,"",""
ball,1,6.4,Australia,MJ Clarke,DJ Hussey,AD Mathews,0,0,"",""
ball,1,6.5,Australia,MJ Clarke,DJ Hussey,AD Mathews,0,0,"",""
ball,1,6.6,Australia,MJ Clarke,DJ Hussey,AD Mathews,0,0,"",""
ball,1,7.1,Australia,DJ Hussey,MJ Clarke,KMDN Kulasekara,4,0,"",""
ball,1,7.2,Australia,DJ Hussey,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,7.3,Australia,DJ Hussey,MJ Clarke,KMDN Kulasekara,0,0,caught,DJ Hussey
ball,1,7.4,Australia,GJ Bailey,MJ Clarke,KMDN Kulasekara,0,0,lbw,GJ Bailey
ball,1,7.5,Australia,MS Wade,MJ Clarke,KMDN Kulasekara,2,0,"",""
ball,1,7.6,Australia,MS Wade,MJ Clarke,KMDN Kulasekara,0,0,"",""
ball,1,8.1,Australia,MJ Clarke,MS Wade,SL Malinga,0,0,"",""
ball,1,8.2,Australia,MJ Clarke,MS Wade,SL Malinga,0,0,"",""
ball,1,8.3,Australia,MJ Clarke,MS Wade,SL Malinga,0,0,"",""
ball,1,8.4,Australia,MJ Clarke,MS Wade,SL Malinga,0,0,"",""
ball,1,8.5,Australia,MJ Clarke,MS Wade,SL Malinga,0,0,"",""
ball,1,8.6,Australia,MJ Clarke,MS Wade,SL Malinga,0,0,"",""
ball,1,9.1,Australia,MS Wade,MJ Clarke,KMDN Kulasekara,0,1,"",""
ball,1,9.2,Australia,MS Wade,MJ Clarke,KMDN Kulasekara,1,0,"",""
ball,1,9.3,Australia,MJ Clarke,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,9.4,Australia,MJ Clarke,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,9.5,Australia,MJ Clarke,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,9.6,Australia,MJ Clarke,MS Wade,KMDN Kulasekara,0,1,"",""
ball,1,9.7,Australia,MJ Clarke,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,9.8,Australia,MJ Clarke,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,10.1,Australia,MS Wade,MJ Clarke,SL Malinga,0,0,"",""
ball,1,10.2,Australia,MS Wade,MJ Clarke,SL Malinga,0,0,"",""
ball,1,10.3,Australia,MS Wade,MJ Clarke,SL Malinga,0,0,"",""
ball,1,10.4,Australia,MS Wade,MJ Clarke,SL Malinga,0,0,"",""
ball,1,10.5,Australia,MS Wade,MJ Clarke,SL Malinga,2,0,"",""
ball,1,10.6,Australia,MS Wade,MJ Clarke,SL Malinga,0,0,"",""
ball,1,11.1,Australia,MJ Clarke,MS Wade,KMDN Kulasekara,0,0,bowled,MJ Clarke
ball,1,11.2,Australia,MC Henriques,MS Wade,KMDN Kulasekara,2,0,"",""
ball,1,11.3,Australia,MC Henriques,MS Wade,KMDN Kulasekara,0,0,bowled,MC Henriques
ball,1,11.4,Australia,MG Johnson,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,11.5,Australia,MG Johnson,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,11.6,Australia,MG Johnson,MS Wade,KMDN Kulasekara,0,0,"",""
ball,1,12.1,Australia,MS Wade,MG Johnson,SL Malinga,1,0,"",""
ball,1,12.2,Australia,MG Johnson,MS Wade,SL Malinga,0,0,"",""
ball,1,12.3,Australia,MG Johnson,MS Wade,SL Malinga,1,0,"",""
ball,1,12.4,Australia,MS Wade,MG Johnson,SL Malinga,0,0,"",""
ball,1,12.5,Australia,MS Wade,MG Johnson,SL Malinga,0,0,"",""
ball,1,12.6,Australia,MS Wade,MG Johnson,SL Malinga,0,0,"",""
ball,1,13.1,Australia,MG Johnson,MS Wade,KMDN Kulasekara,0,0,"",""
