version,1.3.0
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2010/11
info,date,2011/01/26
info,series,Pakistan in New Zealand ODI Series
info,match_number,2
info,venue,Queenstown Events Centre
info,city,
info,toss_winner,New Zealand
info,toss_decision,field
info,umpire,CB Gaffaney
info,umpire,AM Saheba
info,reserve_umpire,PD Jones
info,tv_umpire,BG Frost
info,match_referee,AG Hurst
info,outcome,no result
ball,1,0.1,Pakistan,Mohammad Hafeez,Ahmed Shehzad,JEC Franklin,0,0,"",""
ball,1,0.2,Pakistan,Mohammad Hafeez,Ahmed Shehzad,JEC Franklin,1,0,"",""
ball,1,0.3,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,0,1,"",""
ball,1,0.4,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,6,0,"",""
ball,1,0.5,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,0,0,"",""
ball,1,0.6,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,0,0,"",""
ball,1,0.7,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,1,0,"",""
ball,1,1.1,Pakistan,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,"",""
ball,1,1.2,Pakistan,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,"",""
ball,1,1.3,Pakistan,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,"",""
ball,1,1.4,Pakistan,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,1,"",""
ball,1,1.5,Pakistan,Ahmed Shehzad,Mohammad Hafeez,TG Southee,4,0,"",""
ball,1,1.6,Pakistan,Ahmed Shehzad,Mohammad Hafeez,TG Southee,0,0,"",""
ball,1,1.7,Pakistan,Ahmed Shehzad,Mohammad Hafeez,TG Southee,4,0,"",""
ball,1,2.1,Pakistan,Mohammad Hafeez,Ahmed Shehzad,JEC Franklin,0,0,"",""
ball,1,2.2,Pakistan,Mohammad Hafeez,Ahmed Shehzad,JEC Franklin,1,0,"",""
ball,1,2.3,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,2,0,"",""
ball,1,2.4,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,4,0,"",""
ball,1,2.5,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,0,0,"",""
ball,1,2.6,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JEC Franklin,0,0,"",""
ball,1,3.1,Pakistan,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,"",""
ball,1,3.2,Pakistan,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,"",""
ball,1,3.3,Pakistan,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,"",""
ball,1,3.4,Pakistan,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,"",""
ball,1,3.5,Pakistan,Mohammad Hafeez,Ahmed Shehzad,TG Southee,0,0,"",""
ball,1,3.6,Pakistan,Mohammad Hafeez,Ahmed Shehzad,TG Southee,1,0,"",""
ball,1,4.1,Pakistan,Mohammad Hafeez,Ahmed Shehzad,JDP Oram,1,0,"",""
ball,1,4.2,Pakistan,Ahmed Shehzad,Mohammad Hafeez,JDP Oram,4,0,"",""
