Margin,Winner,Team1,Team2,Year,WinRateVsTeam,T1WinRate,T2WinRate,WinByWickets
140,Australia,Australia,Pakistan,2010,1,1,0,0
40,Australia,Australia,Pakistan,2010,1,1,0,0
135,Australia,Australia,Pakistan,2010,1,1,0,0
146,New Zealand,New Zealand,Bangladesh,2010,0.5,0.5,0,0
113,Australia,Australia,West Indies,2010,0.5,1,0.5,0
50,Australia,Australia,West Indies,2010,1,1,0,0
125,Australia,Australia,West Indies,2010,1,1,0,0
1,India,India,South Africa,2010,0.5,0.6,0.5,0
153,India,India,South Africa,2010,1,0.67,0,0
90,South Africa,India,South Africa,2010,1,0.71,0,0
45,England,Bangladesh,England,2010,0,0,1,0
12,Australia,New Zealand,Australia,2010,1,1,0.9,0
51,New Zealand,New Zealand,Australia,2010,0.25,0.57,0.92,0
66,South Africa,West Indies,South Africa,2010,0.5,0,0.33,0
17,South Africa,West Indies,South Africa,2010,0,0,0.5,0
67,South Africa,West Indies,South Africa,2010,0,0,0.6,0
1,South Africa,West Indies,South Africa,2010,0,0,0.71,0
16,Sri Lanka,Sri Lanka,Pakistan,2010,0.5,0.71,0,0
126,Sri Lanka,Sri Lanka,Bangladesh,2010,1,0.75,0,0
139,Pakistan,Bangladesh,Pakistan,2010,0.5,0,0,0
81,India,Sri Lanka,India,2010,0.67,0.8,0.62,0
1,England,England,Australia,2010,1,1,0.75,0
78,Australia,England,Australia,2010,1,1,0.71,0
42,Australia,England,Australia,2010,0.75,0.86,0.72,0
5,Bangladesh,England,Bangladesh,2010,1,0.78,0,0
144,England,England,Bangladesh,2010,0.8,0.7,0.07,0
200,New Zealand,India,New Zealand,2010,0.5,0.64,0.62,0
105,India,India,New Zealand,2010,0,0.59,0.6,0
74,Sri Lanka,Sri Lanka,India,2010,0.56,0.71,0.61,0
24,England,England,Pakistan,2010,0.5,0.73,0.12,0
23,Pakistan,England,Pakistan,2010,1,0.77,0.1,0
38,Pakistan,England,Pakistan,2010,0.67,0.71,0.18,0
121,England,England,Pakistan,2010,0.5,0.67,0.25,0
9,Bangladesh,Bangladesh,New Zealand,2010,0,0.06,0.55,0
9,Bangladesh,Bangladesh,New Zealand,2010,0.4,0.17,0.46,0
3,Bangladesh,Bangladesh,New Zealand,2010,0.5,0.21,0.43,0
1,Pakistan,Pakistan,South Africa,2010,0,0.21,0.78,0
2,South Africa,Pakistan,South Africa,2010,0.5,0.27,0.7,0
1,Sri Lanka,Australia,Sri Lanka,2010,0.5,0.7,0.73,0
29,Sri Lanka,Australia,Sri Lanka,2010,0,0.67,0.75,0
1,Pakistan,Pakistan,South Africa,2010,0.33,0.25,0.73,0
57,South Africa,Pakistan,South Africa,2010,0.5,0.29,0.67,0
40,India,India,New Zealand,2010,0.5,0.6,0.4,0
135,South Africa,South Africa,India,2011,0.33,0.69,0.68,0
1,India,South Africa,India,2011,0.6,0.73,0.63,0
46,Australia,Australia,England,2011,0.57,0.68,0.61,0
48,South Africa,South Africa,India,2011,0.33,0.58,0.68,0
33,South Africa,South Africa,India,2011,0.45,0.62,0.64,0
21,England,Australia,England,2011,0.73,0.72,0.5,0
43,Pakistan,New Zealand,Pakistan,2011,1,0.36,0.25,0
51,Australia,Australia,England,2011,0.62,0.68,0.54,0
41,Pakistan,New Zealand,Pakistan,2011,0.33,0.31,0.38,0
57,New Zealand,New Zealand,Pakistan,2011,0.25,0.29,0.42,0
57,Australia,Australia,England,2011,0.71,0.71,0.46,0
26,Sri Lanka,Sri Lanka,West Indies,2011,1,0.75,0,0
87,India,Bangladesh,India,2011,0,0.25,0.6,0
11,Pakistan,Sri Lanka,Pakistan,2011,1,0.77,0.39,0
6,England,England,South Africa,2011,0.5,0.43,0.68,0
110,New Zealand,New Zealand,Pakistan,2011,0.4,0.31,0.43,0
18,England,England,West Indies,2011,0.5,0.44,0.12,0
112,Sri Lanka,New Zealand,Sri Lanka,2011,0,0.35,0.71,0
206,South Africa,Bangladesh,South Africa,2011,0.5,0.27,0.66,0
80,India,India,West Indies,2011,0.5,0.59,0.11,0
49,New Zealand,New Zealand,South Africa,2011,0.5,0.33,0.68,0
29,India,India,Pakistan,2011,1,0.63,0.47,0
60,Australia,Bangladesh,Australia,2011,0.5,0.25,0.67,0
66,Australia,Bangladesh,Australia,2011,0,0.22,0.7,0
1,West Indies,West Indies,Pakistan,2011,0,0.07,0.52,0
103,West Indies,West Indies,India,2011,0,0.15,0.7,0
110,England,England,Sri Lanka,2011,0,0.45,0.72,0
69,Sri Lanka,England,Sri Lanka,2011,0.5,0.48,0.68,0
16,England,England,Sri Lanka,2011,0.4,0.46,0.68,0
78,Sri Lanka,Sri Lanka,Australia,2011,0.29,0.59,0.74,0
40,West Indies,Bangladesh,West Indies,2011,0,0.21,0.23,0
126,India,India,England,2011,0,0.59,0.54,0
93,Australia,South Africa,Australia,2011,0.5,0.64,0.69,0
80,South Africa,South Africa,Australia,2011,0,0.6,0.7,0
95,India,India,England,2011,0.57,0.63,0.47,0
25,Sri Lanka,Pakistan,Sri Lanka,2011,0.8,0.5,0.57,0
21,Pakistan,Pakistan,Sri Lanka,2011,0.57,0.48,0.59,0
26,Pakistan,Pakistan,Sri Lanka,2011,0.67,0.5,0.57,0
1,India,India,West Indies,2011,0.67,0.64,0.29,0
76,Pakistan,Bangladesh,Pakistan,2011,0,0.21,0.55,0
16,West Indies,India,West Indies,2011,0.75,0.66,0.26,0
58,Pakistan,Bangladesh,Pakistan,2011,0,0.2,0.56,0
153,India,India,West Indies,2011,0.67,0.65,0.29,0
34,India,India,West Indies,2011,0.7,0.65,0.28,0
258,South Africa,South Africa,Sri Lanka,2012,0.5,0.59,0.53,0
4,South Africa,South Africa,Sri Lanka,2012,1,0.64,0.49,0
65,Australia,Australia,India,2012,0,0.69,0.66,0
5,Australia,Australia,Sri Lanka,2012,0.54,0.71,0.49,0
130,England,England,Pakistan,2012,0.6,0.45,0.6,0
20,England,England,Pakistan,2012,0.75,0.48,0.57,0
110,Australia,Australia,India,2012,0.33,0.66,0.66,0
51,Sri Lanka,India,Sri Lanka,2012,0.6,0.64,0.49,0
87,Australia,Australia,India,2012,0.5,0.65,0.62,0
9,Sri Lanka,Australia,Sri Lanka,2012,0.45,0.66,0.51,0
15,Australia,Australia,Sri Lanka,2012,0.4,0.64,0.52,0
16,Australia,Australia,Sri Lanka,2012,0.42,0.63,0.52,0
21,Pakistan,Bangladesh,Pakistan,2012,0,0.2,0.51,0
50,India,India,Sri Lanka,2012,0.57,0.62,0.5,0
64,Australia,West Indies,Australia,2012,0,0.27,0.64,0
2,Pakistan,Bangladesh,Pakistan,2012,0,0.27,0.52,0
42,West Indies,West Indies,Australia,2012,0.3,0.29,0.63,0
30,Australia,West Indies,Australia,2012,0.46,0.32,0.62,0
76,Sri Lanka,Sri Lanka,Pakistan,2012,0.16,0.45,0.55,0
44,Sri Lanka,Sri Lanka,Pakistan,2012,0.27,0.47,0.54,0
114,England,England,West Indies,2012,1,0.54,0.31,0
15,England,England,Australia,2012,0.26,0.57,0.63,0
55,West Indies,West Indies,New Zealand,2012,1,0.31,0.27,0
88,New Zealand,West Indies,New Zealand,2012,1,0.34,0.25,0
24,West Indies,West Indies,New Zealand,2012,0.67,0.33,0.29,0
20,West Indies,West Indies,New Zealand,2012,0.75,0.35,0.28,0
21,India,Sri Lanka,India,2012,0.38,0.49,0.62,0
20,India,Sri Lanka,India,2012,0.33,0.47,0.63,0
66,Australia,Afghanistan,Australia,2012,0.5,0,0.57,0
80,South Africa,England,South Africa,2012,1,0.63,0.65,0
14,Sri Lanka,Sri Lanka,New Zealand,2012,1,0.46,0.27,0
160,Bangladesh,Bangladesh,West Indies,2012,0.45,0.3,0.36,0
